Name,Description,Discovery Date,Detection Method,Mass,Planet Radius,Planet Type,Orbital Radius,Eccentricity,Orbital Period,File,Uuid,Link
11-comae-berenices-b,"""11 Comae Berenices b is a gas giant exoplanet that orbits a K-type star. Its mass is 19.4 Jupiters, it takes 326 days to complete one orbit of its star, and is 1.29 AU from its star. Its discovery was announced in 2007.""",2007,Radial Velocity,19.4 Jupiters,1.08 x Jupiter (estimate),Gas Giant,1.29 AU,0.23,326 days,exoplanet_details/11-comae-berenices-b/,4dcbe107-ea75-4203-bf67-a46e60adbee6,https://exoplanets.nasa.gov//exoplanet-catalog/6988/11-comae-berenices-b/
11-ursae-minoris-b,"""11 Ursae Minoris b is a gas giant exoplanet that orbits a K-type star. Its mass is 14.74 Jupiters, it takes 1.4 years to complete one orbit of its star, and is 1.53 AU from its star. Its discovery was announced in 2009.""",2009,Radial Velocity,14.74 Jupiters,1.09 x Jupiter (estimate),Gas Giant,1.53 AU,0.08,1.4 years,exoplanet_details/11-ursae-minoris-b/,267fbafa-6cc4-4ea8-80b3-4dd730c2750b,https://exoplanets.nasa.gov//exoplanet-catalog/6989/11-ursae-minoris-b/
14-andromedae-b,"""14 Andromedae b is a gas giant exoplanet that orbits a K-type star. Its mass is 4.8 Jupiters, it takes 185.8 days to complete one orbit of its star, and is 0.83 AU from its star. Its discovery was announced in 2008.""",2008,Radial Velocity,4.8 Jupiters,1.15 x Jupiter (estimate),Gas Giant,0.83 AU,0.0,185.8 days,exoplanet_details/14-andromedae-b/,66030427-d9d9-4f6c-904d-a386f649f291,https://exoplanets.nasa.gov//exoplanet-catalog/6990/14-andromedae-b/
14-herculis-b,"""14 Herculis b is a gas giant exoplanet that orbits a G-type star. Its mass is 4.66 Jupiters, it takes 4.9 years to complete one orbit of its star, and is 2.93 AU from its star. Its discovery was announced in 2002.""",2002,Radial Velocity,4.66 Jupiters,1.15 x Jupiter (estimate),Gas Giant,2.93 AU,0.37,4.9 years,exoplanet_details/14-herculis-b/,d1c4036c-6076-4462-97c2-367623f3619f,https://exoplanets.nasa.gov//exoplanet-catalog/6991/14-herculis-b/
16-cygni-b-b,"""16 Cygni B b is a gas giant exoplanet that orbits a G-type star. Its mass is 1.78 Jupiters, it takes 2.2 years to complete one orbit of its star, and is 1.66 AU from its star. Its discovery was announced in 1996.""",1996,Radial Velocity,1.78 Jupiters,1.2 x Jupiter (estimate),Gas Giant,1.66 AU,0.68,2.2 years,exoplanet_details/16-cygni-b-b/,e0aa1561-3c23-4b3d-8fc1-5f7e8aba424d,https://exoplanets.nasa.gov//exoplanet-catalog/6992/16-cygni-b-b/
17-scorpii-b,"""17 Scorpii b is a gas giant exoplanet that orbits a K-type star. Its mass is 4.32 Jupiters, it takes 1.6 years to complete one orbit of its star, and is 1.45 AU from its star. Its discovery was announced in 2020.""",2020,Radial Velocity,4.32 Jupiters,1.15 x Jupiter (estimate),Gas Giant,1.45 AU,0.06,1.6 years,exoplanet_details/17-scorpii-b/,0a4d3507-b458-46ac-b6a3-0eb4ea1da551,https://exoplanets.nasa.gov//exoplanet-catalog/8016/17-scorpii-b/
18-delphini-b,"""18 Delphini b is a gas giant exoplanet that orbits a K-type star. Its mass is 10.3 Jupiters, it takes 2.7 years to complete one orbit of its star, and is 2.6 AU from its star. Its discovery was announced in 2008.""",2008,Radial Velocity,10.3 Jupiters,1.11 x Jupiter (estimate),Gas Giant,2.6 AU,0.08,2.7 years,exoplanet_details/18-delphini-b/,634afa15-e774-4ab1-998b-2ec6089f5691,https://exoplanets.nasa.gov//exoplanet-catalog/6993/18-delphini-b/
1rxs-j1609291-210524-b,"""1RXS J160929.1-210524 b is a gas giant exoplanet that orbits a K-type star. Its mass is 8 Jupiters, it takes 6505.9 years to complete one orbit of its star, and is 330 AU from its star. Its discovery was announced in 2008.""",2008,Direct Imaging,8 Jupiters,1.664 x Jupiter,Gas Giant,330.0 AU,0.0,6505.9 years,exoplanet_details/1rxs-j1609291-210524-b/,80c77de2-a211-4c51-94b5-0b34479292f2,https://exoplanets.nasa.gov//exoplanet-catalog/7061/1rxs-j1609291-210524-b/
24-bootis-b,"""24 Bootis b is a gas giant exoplanet that orbits a K-type star. Its mass is 0.91 Jupiters, it takes 30.4 days to complete one orbit of its star, and is 0.19 AU from its star. Its discovery was announced in 2018.""",2018,Radial Velocity,0.91 Jupiters,1.24 x Jupiter (estimate),Gas Giant,0.19 AU,0.04,30.4 days,exoplanet_details/24-bootis-b/,43dfcd2a-7452-4789-b2d4-32fb8863e72f,https://exoplanets.nasa.gov//exoplanet-catalog/7274/24-bootis-b/
24-sextantis-b,"""24 Sextantis b is a gas giant exoplanet that orbits a K-type star. Its mass is 1.99 Jupiters, it takes 452.8 days to complete one orbit of its star, and is 1.333 AU from its star. Its discovery was announced in 2010.""",2010,Radial Velocity,1.99 Jupiters,1.19 x Jupiter (estimate),Gas Giant,1.333 AU,0.09,452.8 days,exoplanet_details/24-sextantis-b/,ed36a49b-6b55-4699-8642-8b2ecceae13f,https://exoplanets.nasa.gov//exoplanet-catalog/6994/24-sextantis-b/
